URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://dicom.nema.org/resources/ontology/DCM,01,active,,DICOM Controlled Terminology Definitions,null,"DICOM Code Definitions (Coding Scheme Designator ""DCM"" Coding Scheme Version ""01"")","ValueSet/security-role-type"
http://hl7.org/fhir/address-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.63",AddressType,null,"The type of an address (physical / postal)","ValueSet/address-type,ConceptMap/AdresSoortCodelijst-to-AddressType"
http://hl7.org/fhir/address-use,3.0.2,draft,"2.16.840.1.113883.4.642.1.61",AddressUse,null,"The use of an address","ConceptMap/AdresSoortCodelijst-to-AddressUse,ValueSet/address-use"
http://hl7.org/fhir/administrative-gender,3.0.2,draft,"2.16.840.1.113883.4.642.1.2",AdministrativeGender,null,"The gender of a person used for administrative purposes.","ConceptMap/GeslachtCodelijst-to-AdministrativeGender,ValueSet/administrative-gender"
http://hl7.org/fhir/allergy-clinical-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.118",AllergyIntoleranceClinicalStatus,null,"The clinical status of the allergy or intolerance.","ValueSet/allergy-clinical-status"
http://hl7.org/fhir/allergy-intolerance-category,3.0.2,draft,"2.16.840.1.113883.4.642.1.124",AllergyIntoleranceCategory,null,"Category of an identified substance.","ValueSet/allergy-intolerance-category,ConceptMap/AllergieCategorieCodelijst-to-allergy-intolerance-category"
http://hl7.org/fhir/allergy-intolerance-criticality,3.0.2,draft,"2.16.840.1.113883.4.642.1.120",AllergyIntoleranceCriticality,null,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","ConceptMap/MateVanKritiekZijnCodelijst-to-allergy-intolerance-criticality,ValueSet/allergy-intolerance-criticality"
http://hl7.org/fhir/allergy-intolerance-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.122",AllergyIntoleranceType,null,"Identification of the underlying physiological mechanism for a Reaction Risk.","ValueSet/allergy-intolerance-type"
http://hl7.org/fhir/allergy-verification-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.116",AllergyIntoleranceVerificationStatus,null,"Assertion about certainty associated with a propensity, or potential risk, of a reaction to the identified substance.","ValueSet/allergy-verification-status,ConceptMap/AllergieStatusCodelijst-to-allergy-status"
http://hl7.org/fhir/animal-genderstatus,3.0.2,draft,"2.16.840.1.113883.4.642.1.408",GenderStatus,null,"This example value set defines a set of codes that can be used to indicate the current state of the animal's reproductive organs.","ValueSet/animal-genderstatus"
